α,β,L,id,time,h_sample,strain
0.35133904,0.008971373,11.004934,005,68.7,179.932,jt305
0.37885273,0.008956556,9.973194,006,68.7,179.932,jt305
0.33782306,0.019044662,13.3403225,007,68.7,179.932,jt305
0.35036674,0.004108073,9.849023,008,68.7,179.932,jt305
0.3414847,0.00691621,10.936904,009,68.7,179.932,jt305
0.3580885,0.010192136,11.012418,010,68.7,179.932,jt305
0.34460607,0.010417626,11.568372,best,69.73,181.105,jt305
0.34178206,0.010214488,11.594096,001,69.73,181.105,jt305
0.3468867,0.01472214,12.473148,002,69.73,181.105,jt305
0.3322832,0.009946076,12.147253,003,69.73,181.105,jt305
0.34990263,0.009761223,11.224353,004,69.73,181.105,jt305
0.34829816,0.009555026,11.328254,005,69.73,181.105,jt305
0.32878956,0.02098035,14.7823305,006,69.73,181.105,jt305
0.33553687,0.009729678,11.946361,007,69.73,181.105,jt305
0.3411449,0.002636252,9.886768,008,69.73,181.105,jt305
0.33328968,0.023150343,15.353306,009,69.73,181.105,jt305
0.32240018,0.01480657,13.958541,010,69.73,181.105,jt305
0.34468055,0.010367181,11.553788,best,70.76,184.227,jt305
0.3617506,0.0058872076,9.8815565,001,70.76,184.227,jt305
0.33008194,0.009139226,12.132912,002,70.76,184.227,jt305
0.33365285,0.009904991,12.218186,003,70.76,184.227,jt305
0.33788708,0.011331633,12.169646,004,70.76,184.227,jt305
0.3457691,0.011011995,11.612135,005,70.76,184.227,jt305
0.33278394,0.011577727,12.684749,006,70.76,184.227,jt305
0.34957853,0.016620759,13.028683,007,70.76,184.227,jt305
0.32306325,0.008119421,11.920352,008,70.76,184.227,jt305
0.35909003,0.0043545063,9.624783,009,70.76,184.227,jt305
0.34364963,0.007011074,10.881524,010,70.76,184.227,jt305
0.34467208,0.010373547,11.555559,best,71.79,184.735,jt305
0.41199312,0.0071162377,8.548113,001,71.79,184.735,jt305
0.32197636,0.017657299,14.647806,002,71.79,184.735,jt305
0.3234573,0.014291455,13.685279,003,71.79,184.735,jt305
0.35399288,0.012038568,11.389256,004,71.79,184.735,jt305
0.330535,0.0098800035,12.085811,005,71.79,184.735,jt305
0.42622435,0.0064227893,8.044063,006,71.79,184.735,jt305
0.36051384,0.0064516435,9.932234,007,71.79,184.735,jt305
0.3115391,0.014070082,14.660516,008,71.79,184.735,jt305
0.36607993,0.010680639,10.521292,009,71.79,184.735,jt305
0.3772857,0.005386774,9.080046,010,71.79,184.735,jt305
0.3445788,0.010432858,11.573129,best,72.91,185.724,jt305
0.4667299,0.007080721,7.2270803,001,72.91,185.724,jt305
0.36368233,0.01016501,10.854715,002,72.91,185.724,jt305
0.3374253,0.012127096,12.182412,003,72.91,185.724,jt305
0.35722563,0.005715524,10.007023,004,72.91,185.724,jt305
0.3841141,0.010747837,10.188711,005,72.91,185.724,jt305
0.3355516,0.011787297,12.408439,006,72.91,185.724,jt305
0.33313262,0.011768422,12.416467,007,72.91,185.724,jt305
0.322091,0.008363889,11.964405,008,72.91,185.724,jt305
0.32892257,0.009213362,11.9443,009,72.91,185.724,jt305
0.38687682,0.006547757,9.112982,010,72.91,185.724,jt305
0.34452733,0.010464251,11.582591,best,73.87,187.467,jt305
0.33159113,0.014927363,12.903624,001,73.87,187.467,jt305
0.37876353,0.009479283,10.01628,002,73.87,187.467,jt305
0.3364033,0.010384215,11.991926,003,73.87,187.467,jt305
0.33065882,0.013397006,12.972351,004,73.87,187.467,jt305
0.3697189,0.0057417178,9.503281,005,73.87,187.467,jt305
0.3507604,0.010759886,11.357845,006,73.87,187.467,jt305
