time,nutrient_n,logistic_n,interface_n,logistic,interface
77.0,306.86244104422195,185.81012642696615,237.64312802811267,166.68039124016076,219.49612271573153
77.5,308.92648681541925,185.81212861580727,238.0427836526397,166.69632532536244,219.63637448298903
78.0,311.0044111120543,185.81400229775934,238.43766650196832,166.70364527687926,219.77310207140383
78.5,313.09630870453697,185.8157546727257,238.82782025509363,166.70140727216827,219.90638551352666
79.0,315.20227507702924,185.81739274432354,239.21329644534464,166.68950568920874,220.03630373317563
79.5,317.32240634438506,185.8189233198841,239.59415446038406,166.66867310650204,220.16293454543631
80.0,319.45679704690093,185.82035301045264,239.97046154220854,166.64048030307166,220.28635465666167
80.5,321.6055420550404,185.8216882307883,240.34229278714852,166.60733625846322,220.40663966447212
81.0,323.76873748842803,185.82293519936428,240.7097311458682,166.57248815274454,220.5238640577555
81.5,325.94648020706387,185.82409993836774,241.07286742336566,166.5400213665055,220.6381012166671
82.0,328.1388678113233,185.8251882736998,241.43180027897282,166.51485948085815,220.7494234126296
82.5,330.3459986419572,185.8262058349756,241.78663622635537,166.50276427743668,220.85790180833314
83.0,332.56797178009185,185.82715805552425,242.1374896335128,166.51033573839737,220.9636064577353
83.5,334.804887047229,185.8280501723888,242.48448272277858,166.538711263555,221.06660630606103
84.0,337.05684500524586,185.82888722632634,242.82774557081981,166.5772843603024,221.1669691898028
84.5,339.32394695639493,185.82967385169732,243.1674161086375,166.61843840439744,221.26476183672045
85.0,341.6062949433045,185.83041248744576,243.50364012156646,166.6560021633788,221.36004986584126
85.5,343.9039917489778,185.8311052238803,243.83657124927538,166.6852277299142,221.45289778745993
86.0,346.217140896794,185.831754259531,244.1663709857667,166.70279052180052,221.54336900313862
86.5,348.54584665050726,185.83236176157527,244.49317416259603,166.7067892819638,221.6315258057069
87.0,350.89021401424753,185.8329298658377,244.81682965886205,166.69674607845909,221.71742937926177
87.5,353.2503487325199,185.8334606767903,245.1372719196201,166.67360630447067,221.8011397991677
88.0,355.6263572902053,185.83395626755234,245.4544821447805,166.63973867831186,221.88271603205646
88.5,358.0183469125597,185.83441867989035,245.76844693852186,166.59893524342513,221.96221593582746
89.0,360.4264255652147,185.8348499242182,246.07915830929102,166.5564113683821,222.03969625964734
89.5,362.85070195417705,185.83525197959705,246.3866136698031,166.51880574688343,222.11521264395031
90.0,365.29128552582966,185.8356267937354,246.6908158370416,166.494180397759,222.18881962043793
90.5,367.74828625404785,185.83597628298898,246.99177303225824,166.49202066496773,222.2605706120792
91.0,370.2218131865756,185.8363023323609,247.289498880973,166.51731120812366,222.33051793311057
91.5,372.71197699306003,185.8366067955015,247.58401241297426,166.55284321323896,222.39871278903593
92.0,375.2188894415734,185.83689149470845,247.87533806231858,166.5904825987873,222.46520527662656
92.5,377.7426630979181,185.83715822092677,248.1635056673308,166.62469261793905,222.53004438392125
93.0,380.28341132562645,185.83740873374867,248.44855047060412,166.65127821725676,222.5932779902261
93.5,382.84124828596066,185.8376447614138,248.73051311900002,166.6673860366951,222.65495286611477
94.0,385.4162889379129,185.83786754680833,249.00943966364818,166.67150440960097,222.7150919089359
94.5,388.0086490382053,185.83807633866897,249.2853815599467,166.66346336271346,222.77370926833473
95.0,390.61844514128995,185.83827173787557,249.55839566756185,166.64443461616372,222.83084307722683
95.5,393.2457945993488,185.83845454844806,249.82854425042825,166.6169315834752,222.88653067386383
96.0,395.890815562294,185.8386255417609,250.0958949767488,166.5848093715635,222.94080855728365
96.5,398.5536269777673,185.83878545654326,250.36052091899467,166.5532647807363,222.99371238731055
97.0,401.2343485911405,185.83893499887887,250.6225005539053,166.52883630469358,223.04527698455502
97.5,403.9331009455158,185.839074842206,250.88191776248846,166.51940413052736,223.0955363304139
98.0,406.6500053817244,185.8392056273176,251.13886183002023,166.53187436565162,223.1445235670703
98.5,409.3851840383284,185.83932796236118,251.39342744604488,166.5472014649706,223.1922709974937
99.0,412.13875985161945,185.83944242283889,251.64571470437505,166.55934772491932,223.23881008543978
99.5,414.91085655561903,185.8395495516074,251.89582910309167,166.56895686795403,223.28417145545055
100.0,417.70159868207884,185.8396498588781,252.14388154454392,166.57659027406208,223.3283848928544
