t,bgt127,jt305,gob33
154.5,223.7159649933585,268.40967985872663,593.4379292878846
155.0,223.7182854035729,268.6910534128599,594.1342109704572
155.5,223.72053573916324,268.97037923936415,594.8257817683777
156.0,223.7227180198417,269.247671833893,595.5126720389197
156.5,223.72483428593793,269.5229456133869,596.1949119961507
157.0,223.72688659839912,269.79621491607327,596.8725317109322
157.5,223.72887703878993,270.06749400146623,597.5455611109203
158.0,223.73080770929252,270.3367970503669,598.2140299805646
158.5,223.73268073270654,270.6041381648631,598.8779679611098
159.0,223.73449825244907,270.86953136832966,599.5374045505939
159.5,223.7362624325548,271.13299060542806,600.1923691038495
160.0,223.73797545767587,271.3945297421069,600.8428908325033
160.5,223.73963953308186,271.6541625656014,601.4889988049762
161.0,223.74125688465986,271.9119027844337,602.130721946483
161.5,223.74282975891452,272.1677640284129,602.768089039033
162.0,223.74436042296796,272.4217598486348,603.4011287214297
162.5,223.74585116455972,272.6739037174821,604.0298694892705
163.0,223.7473042920469,272.92420902862443,604.6543396949469
163.5,223.7487221344041,273.1726890970181,605.274567547645
164.0,223.75010704122337,273.4193571589066,605.8905811133446
164.5,223.75146138271427,273.6642263718199,606.50240831482
165.0,223.7527875497039,273.90730981457494,607.1100769316395
165.5,223.75408795363677,274.14862048727565,607.7136146001656
166.0,223.75536502657496,274.3881713113127,608.3130488135548
166.5,223.75662122119797,274.6259751293636,608.9084069217583
167.0,223.7578590108029,274.8620447053928,609.4997161315208
167.5,223.7590808893042,275.0963927246514,610.0870035063816
168.0,223.76028937123394,275.32903179367776,610.670295966674
168.5,223.76148697738643,275.5599744402965,611.2496202895254
169.0,223.7626690743463,275.7892331136197,611.8250031088576
169.5,223.7638303557145,276.01682018404586,612.3964709153863
170.0,223.76497065702588,276.2427479432605,612.9640500566217
170.5,223.76608982914144,276.467028604236,613.5277667368678
171.0,223.76718773824814,276.68967430123166,614.0876470172228
171.5,223.76826426585905,276.91069708979336,614.6437168155795
172.0,223.7693193088133,277.1301089467542,615.1960019066244
172.5,223.77035277927604,277.3479217702338,615.7445279218382
173.0,223.77136460473855,277.56414737963894,616.289320349496
173.5,223.77235472801806,277.7787975156629,616.8304045346671
174.0,223.77332310725797,277.99188384028616,617.3678056792145
174.5,223.77426971592763,278.2034179367759,617.901548841796
175.0,223.77519454282256,278.41341130968607,618.4316589378631
175.5,223.77609759206425,278.62187538485756,618.9581607396615
176.0,223.7769788831003,278.82882150941816,619.4810788762314
176.5,223.7778384507043,279.03426095178247,620.0004378334069
177.0,223.77867634497602,279.23820490165184,620.5162619538162
177.5,223.77949263134116,279.4406644700147,621.0285754368819
178.0,223.7802873905515,279.64165068914616,621.5374023388206
178.5,223.78106071868498,279.84117451260806,622.042766572643
179.0,223.78181272714548,280.03924681524944,622.5446919081542
179.5,223.78254354266298,280.23587839320595,623.0432019719534
180.0,223.78325330729353,280.4310799639002,623.5383202474337
180.5,223.78394217841924,280.62486216604145,624.0300700747828
181.0,223.78461032874824,280.8172355596261,624.5184746509822
181.5,223.78525794631474,281.0082106259373,625.0035570298078
182.0,223.78588523447903,281.19779776754484,625.4853401218294
182.5,223.7864924119274,281.3860073083057,625.9638466944114
183.0,223.7870797126723,281.5728494933635,626.4390993717118
183.5,223.7876473860521,281.75833448914875,626.9111206346832
184.0,223.78819569673135,281.94247238337886,627.3799328210724
184.5,223.7887249247006,282.125273185058,627.8455581254201
185.0,223.78923536527645,282.30674682447733,628.308018599061
185.5,223.78972732910157,282.4869031532148,628.7673361501246
186.0,223.7902011421447,282.6657519441352,629.2235325435339
