file,replicate,time,border_l,border_r,offset_l,offest_r,displacement,zoom,strain,mid_height,max_height,min_height,width,hL,hR,avg_height,std_height,forward_change,loess_height,local_slope
bacillus_117.datx,C,15.9105555555556,8838,30493,0.0,0.0,2172,50,bacillus,3.2293978322923067,33.91072978930242,0.0,3.75956748,7240,18759,3.311962745653035,1.245238233198824,-1.8018097751646787,2.725845729573641,-2.2765103851922985
bacillus_120.datx,C,16.4416666666667,8848,30520,0.0,0.0,2164,50,bacillus,2.3121091886823706,35.13881139744262,-0.23825557778036455,3.7625190199999996,7240,18759,2.3550015539544846,1.293585799597953,-6.83720802281059,1.4648917701040318,-2.601976209463762
bacillus_123.datx,C,16.9716666666667,8785,30556,0.0,0.0,2114,50,bacillus,-1.8152642432178254,34.83780700844363,-4.240755269860529,3.7797074,7240,18759,-1.2687186981351362,1.3363050971031214,0.21518645766990568,0.44122873629178994,-0.6183147050936618
bacillus_126.datx,C,17.5066666666667,8790,30586,0.0,0.0,2102,50,bacillus,-1.5043410270227469,36.76147455647515,-3.811018861943012,3.7840479,7240,18759,-1.1535939432817366,1.3777656176991548,4.53989480225616,0.150300854581404,-0.6177463974406344
bacillus_129.datx,C,18.0372222222222,8713,30617,0.0,0.0,2048,50,bacillus,0.695637554716086,40.84035784167281,-1.528046560993971,3.80279886,7240,18759,1.255072465692815,1.4933939787850965,-0.5078479755645816,0.09245497893771315,0.6629661918500032
bacillus_132.datx,C,18.5672222222222,8701,30654,0.0,0.0,2023,50,bacillus,0.6920934180088807,40.107161417941825,-1.5507065519850585,3.81130624,7240,18759,0.9859130386435879,1.3552999153173344,-2.6833598458705477,0.18663899673633774,-1.060167251948538
bacillus_135.datx,C,19.0988888888889,8668,30684,0.0,0.0,1992,50,bacillus,-0.9623956571995222,42.86805065509179,-3.601996787092503,3.8222443,7240,18759,-0.4407399460776809,2.0551118655193217,-2.717203498169779,-0.524821009206905,-1.3963607732744532
bacillus_138.datx,C,19.6294444444444,8632,30746,0.0,0.0,1943,50,bacillus,-2.397549436063855,43.788254005950876,-4.985678490964347,3.83925906,7240,18759,-1.882367357606491,1.9987639482779687,-0.24245852382480954,-1.5202697893999186,-2.154834335187071
bacillus_141.datx,C,20.1594444444444,8604,30779,0.0,0.0,1912,50,bacillus,-2.5477099082709174,43.61413875764629,-4.974449076929886,3.84984988,7240,18759,-2.0108703752336403,1.6943692642159094,-4.868523889154956,-2.468022420667606,-1.19172388395268
bacillus_144.datx,C,20.6911111111111,8576,30810,0.0,0.0,1883,50,bacillus,-5.245284841621469,41.2681626581616,-7.49267204210264,3.8600934600000003,7240,18759,-4.599302242967846,1.2908977096713958,4.854617837234785,-3.020922346510894,-0.7709702957205611
bacillus_147.datx,C,21.2216666666667,8541,30831,0.0,0.0,1855,50,bacillus,-2.414462641452701,45.74455470523753,-5.198559230047977,3.8698161799999995,7240,18759,-2.0236577793236132,2.037496396954507,-6.357251264806039,-3.2656352207835644,-0.10409118734175715
bacillus_150.datx,C,21.7522222222222,8513,30866,0.0,0.0,1823,50,bacillus,-6.1902818826602015,46.08960361775462,-8.967728737872676,3.88075424,7240,18759,-5.396532755928697,2.199717176956423,9.116030920607981,-2.7568671704541003,1.424922209672046
bacillus_153.datx,C,22.2844444444444,8486,30895,0.0,1.0,1795,50,bacillus,-1.1886244514098507,50.780366665414476,-4.731148116305121,3.8904769599999995,7240,18759,-0.5447785215164408,3.117154837679631,-1.2462404229208903,-2.053276159988379,1.810624197940236
bacillus_156.datx,C,22.8161111111111,8455,30927,0.0,0.0,1764,50,bacillus,-2.061347891922196,50.67564782348563,-4.959868150603143,3.90141502,7240,18759,-1.2073630130360868,2.613526352006277,0.4597038693998239,-0.9246314868179049,2.1963031641578206
bacillus_159.datx,C,23.3461111111111,8431,30958,0.0,0.0,1736,50,bacillus,-2.187204571258917,52.02462141147407,-4.841706244707893,3.91096412,7240,18759,-0.9637199622541797,2.571172610534032,8.300875016933851,0.1587861879548428,1.4004118046928773
bacillus_162.datx,C,23.8777777777778,8405,30989,0.0,0.0,1708,50,bacillus,2.628289158234111,52.59696434140642,-0.014062151589314453,3.92086046,7240,18759,3.4495785884159433,1.7930602317557576,-5.562775861653585,0.6888562197512442,1.0643620216695886
bacillus_165.datx,C,24.4083333333333,8373,30981,0.0,0.0,1696,50,bacillus,-0.557095471132925,52.474107293022826,-2.971429584958969,3.92502734,7240,18759,0.4982169507056104,2.155442275623026,-0.306621916330863,1.086229553030893,0.14709809583898892
bacillus_168.datx,C,24.94,8350,31036,0.0,0.0,1657,50,bacillus,-0.9573448936898785,53.93490568179186,-3.3020284924205043,3.9385697,7240,18759,0.3351962985230241,2.314940809103425,-0.6457414286583544,1.0608103222736844,-0.24510227096285586
